start_pos_x,start_pos_y,start_pos_z,rel_dist_x,rel_dist_y,rel_dist_z,tof,delta_v
-305803.8,370510.02,934111.05,-346768.67,176129.02,367031.47,13.88,27519.28
-457339.56,-400778.7,-502527.54,-994485.89,950450.64,926485.99,20.08,31769.21
58330.22,22133.21,-491451.77,-299481.33,408756.56,428573.12,891.7,40115.27
-626562.73,475988.02,58039.4,-686506.32,-130005.53,-445875.47,12.89,31759.77
-836405.12,668783.29,683944.21,603699.23,375628.55,-68998.49,2.87,24954.26
976961.88,624180.13,487944.01,-594817.9,-979500.2,-254228.73,3.14,25087.67
194228.01,-327464.04,80479.22,-87625.97,281353.58,-299566.31,519.9,45261.62
225707.92,974856.33,315401.63,818960.42,-796217.06,-310925.01,11.1,27530.71
-152323.1,460241.39,127606.08,18711.3,-707802.94,88834.87,881.55,39878.1
-80933.09,-524454.38,231668.54,-130490.71,224919.39,331664.38,971.71,37105.34
92034.46,210317.98,16036.08,-161246.3,273863.67,-178617.75,928.24,58856.61
-830486.6,-135898.96,-934883.88,682133.49,-984247.69,-592728.71,5.64,25115.81
182331.95,-321829.37,-27423.89,684535.61,-537245.99,-649666.71,3.88,46319.71
-103120.78,403400.04,247484.64,167816.64,-194363.68,-107107.08,705.52,40569.28
-288862.24,416758.01,-74399.27,-295185.51,-125775.3,411576.58,977.54,39439.9
52941.43,242034.97,996106,810483.88,940410.81,-760671.38,9.3,27830.2
923582.5,823585.65,-846222.73,6982.69,221969.87,829824.34,9.51,23014.65
-620346.8,-880695.68,939792.34,434247.14,363436.11,721250.65,15.74,23582.81
-82852.08,-66439.17,-277290.16,-49636.59,646204.28,439608.35,965.3,51815.14
187592.69,358893.02,544088.15,18545.03,-144930.97,-326504.47,699.42,34283.99
-610758.86,-385633.47,-818199.33,-570464.44,140935.22,9848.38,0.41,26706.07
-499180.5,-100078.8,597420.31,345687.26,214536.23,-363999.09,915.46,31869.32
-600207.48,592276.55,-663078.45,-48696.64,771248.36,428785.59,0.63,27025.76
-333138.7,-993244.56,377524.07,748938.78,-939427.8,170452.26,26.81,26736.54
974430.73,204618.28,-191297.56,581617.02,899825.89,-854605.45,3.35,27965.47
844378.49,-394170.31,-767261.63,-641869.32,936782.07,217100.94,0.23,25199.55
-255524.52,223513.36,-303460.51,118748.65,-198095.36,640876.07,3.01,41788
488893.84,-920138.46,-317317.42,976135.24,-558704.02,-884839.33,10.07,27016.46
276272.29,548897.64,-988413.35,650978.98,834070.92,368891.33,21.33,26148.32
564572.64,-297111.39,-675240.81,814683.5,622313.9,-178096.98,4.9,29238.56
