r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days],m0_maximum [kg],m1_maximum [kg]
2.766562359,-27.31627232,533.0820208,2.765199701,0.024234765,1.76E-05,-32.6693962,533.7326296,0.773383446,2.343054254,2945.509437,2942.412974
2.764666272,-28.32160009,534.4662795,2.763257865,0.024298248,1.72E-05,-33.67806902,535.1431115,0.755736958,2.343054254,2940.864743,2937.768281
2.762702932,-29.28982599,535.9049403,2.761250445,0.024364273,1.67E-05,-34.6503617,536.6111403,0.733177626,2.343054254,2936.22005,2933.123589
2.760674891,-30.22020495,537.4026189,2.759180025,0.024433073,1.60E-05,-35.58561364,538.1424709,0.703524408,2.343054254,2931.575359,2928.478899
2.758584755,-31.11194254,538.9657499,2.757049247,0.024504979,1.52E-05,-36.48305086,539.7452155,0.663126557,2.343054254,2926.93067,2923.834211
2.75643519,-31.96399927,540.6034528,2.75486083,0.024580459,1.39E-05,-37.34139273,541.4309689,0.605467539,2.343054254,2922.285983,2919.189528
2.754228958,-32.77448824,542.3287849,2.752617643,0.024660183,1.20E-05,-38.1575723,543.216228,0.517984434,2.343054254,2917.641301,2914.544849
2.751969027,-33.53872795,544.1600594,2.750322962,0.024745059,8.86E-06,-38.92228052,545.1224718,0.374406845,2.343054254,2912.996625,2909.900179
2.749658952,-34.24237615,546.1189669,2.747981356,0.02483594,3.33E-06,-39.60325609,547.1634212,0.117927248,2.343054254,2908.351959,2905.255525
2.747304246,-34.83589355,548.2046888,2.74560187,0.024931294,-6.67E-06,-40.08895391,549.2619981,-0.341402972,2.343054254,2903.707312,2900.610893
2.744916965,-35.16352259,550.2628526,2.743205712,0.025019474,-1.98E-05,-40.13920583,551.0572923,-0.909187213,2.343054254,2899.062685,2895.966262
2.74252348,-34.99624363,551.8566839,2.740826748,0.025081741,-2.68E-05,-39.67569555,552.2064402,-1.188872499,2.343054254,2894.418046,2891.321605
